id;name;geoid;geoname;value;datetime;Precio_energia_excedentaria
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;38.76;2023-01-07T12:00:00+01:00;9.61
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;35.87;2023-01-07T13:00:00+01:00;7.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;32.89;2023-01-07T14:00:00+01:00;4.68
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;32.63;2023-01-07T15:00:00+01:00;3.37
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;40.94;2023-01-07T16:00:00+01:00;7.21
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;57.12;2023-01-07T17:00:00+01:00;23.81
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;71.48;2023-01-07T18:00:00+01:00;39.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;74.07;2023-01-07T19:00:00+01:00;42.73
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;81.97;2023-01-07T20:00:00+01:00;49.27
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;74.42;2023-01-07T21:00:00+01:00;42.71
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;59.4;2023-01-07T22:00:00+01:00;29.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;53.63;2023-01-07T23:00:00+01:00;23.8
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;45.77;2023-01-08T00:00:00+01:00;5.89
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;46.04;2023-01-08T01:00:00+01:00;3.91
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;46.94;2023-01-08T02:00:00+01:00;3.15
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;47.18;2023-01-08T03:00:00+01:00;3.14
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;47.56;2023-01-08T04:00:00+01:00;3.16
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;47.77;2023-01-08T05:00:00+01:00;3.16
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;46.82;2023-01-08T06:00:00+01:00;3.15
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;45.2;2023-01-08T07:00:00+01:00;3.15
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;46.46;2023-01-08T08:00:00+01:00;3.15
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;44.02;2023-01-08T09:00:00+01:00;3.9
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;39.31;2023-01-08T10:00:00+01:00;4.08
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;37.89;2023-01-08T11:00:00+01:00;4.04
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;34.61;2023-01-08T12:00:00+01:00;3.9
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;34.08;2023-01-08T13:00:00+01:00;3.99
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;33.32;2023-01-08T14:00:00+01:00;3.62
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;33.28;2023-01-08T15:00:00+01:00;3.24
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;35.35;2023-01-08T16:00:00+01:00;3.62
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;36.17;2023-01-08T17:00:00+01:00;6.06
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;44.67;2023-01-08T18:00:00+01:00;16.55
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;49.31;2023-01-08T19:00:00+01:00;23.32
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;67.5;2023-01-08T20:00:00+01:00;38.39
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;67.66;2023-01-08T21:00:00+01:00;38.36
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;46.42;2023-01-08T22:00:00+01:00;20.55
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;40.95;2023-01-08T23:00:00+01:00;14.6
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;41.07;2023-01-09T00:00:00+01:00;4.36
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;43.12;2023-01-09T01:00:00+01:00;3.46
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;44.46;2023-01-09T02:00:00+01:00;3.35
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;47.64;2023-01-09T03:00:00+01:00;3.34
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;49.81;2023-01-09T04:00:00+01:00;3.86
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;48.95;2023-01-09T05:00:00+01:00;4.76
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;69.22;2023-01-09T06:00:00+01:00;25.82
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;121.64;2023-01-09T07:00:00+01:00;79.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;184.62;2023-01-09T08:00:00+01:00;117.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;189.49;2023-01-09T09:00:00+01:00;120.42
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;233.16;2023-01-09T10:00:00+01:00;118.84
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;227.51;2023-01-09T11:00:00+01:00;114.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;216.58;2023-01-09T12:00:00+01:00;105.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;198.73;2023-01-09T13:00:00+01:00;91.1
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;140.33;2023-01-09T14:00:00+01:00;80.54
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;129.4;2023-01-09T15:00:00+01:00;71.58
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;162.01;2023-01-09T16:00:00+01:00;98.36
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;197.51;2023-01-09T17:00:00+01:00;129.52
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;282.04;2023-01-09T18:00:00+01:00;160.7
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;294.12;2023-01-09T19:00:00+01:00;170.88
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;282.12;2023-01-09T20:00:00+01:00;160.47
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;255.4;2023-01-09T21:00:00+01:00;138.42
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;202.31;2023-01-09T22:00:00+01:00;131.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;175.99;2023-01-09T23:00:00+01:00;105.66
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;156.84;2023-01-10T00:00:00+01:00;104.41
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;148.28;2023-01-10T01:00:00+01:00;95.92
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;147.51;2023-01-10T02:00:00+01:00;94.57
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;142.32;2023-01-10T03:00:00+01:00;89.45
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;145.95;2023-01-10T04:00:00+01:00;92.2
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;150.54;2023-01-10T05:00:00+01:00;97
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;167.88;2023-01-10T06:00:00+01:00;116.08
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;179.58;2023-01-10T07:00:00+01:00;131.6
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;215.27;2023-01-10T08:00:00+01:00;140.93
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;214.6;2023-01-10T09:00:00+01:00;140.6
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;240.25;2023-01-10T10:00:00+01:00;124.51
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;213.74;2023-01-10T11:00:00+01:00;100.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;210.18;2023-01-10T12:00:00+01:00;96.86
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;206.86;2023-01-10T13:00:00+01:00;94.76
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;157.66;2023-01-10T14:00:00+01:00;91.86
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;157.15;2023-01-10T15:00:00+01:00;91.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;165.68;2023-01-10T16:00:00+01:00;97.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;205.41;2023-01-10T17:00:00+01:00;132.54
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;266.46;2023-01-10T18:00:00+01:00;144
