CUPS;FECHA-HORA;INV / VER;CONSUMO Wh;GENERACION Wh;REACT Q1;REACT Q2;REACT Q3;REACT Q4;METODO OBT.;FIRMEZA;NUM FACTURA
ES002100000100007PD;07/01/2023 11:00;0;972;0;1;0;0;199;1;1;3.23E+15
ES002100000100007PD;07/01/2023 12:00;0;1043;0;0;0;0;338;1;1;3.23E+15
ES002100000100007PD;07/01/2023 13:00;0;804;0;0;0;0;302;1;1;3.23E+15
ES002100000100007PD;07/01/2023 14:00;0;611;0;1;0;0;191;1;1;3.23E+15
ES002100000100007PD;07/01/2023 15:00;0;2656;0;0;0;0;262;1;1;3.23E+15
ES002100000100007PD;07/01/2023 16:00;0;471;0;0;0;0;149;1;1;3.23E+15
ES002100000100007PD;07/01/2023 17:00;0;1847;0;1;0;0;159;1;1;3.23E+15
ES002100000100007PD;07/01/2023 18:00;0;1082;0;0;0;0;148;1;1;3.23E+15
ES002100000100007PD;07/01/2023 19:00;0;337;0;0;0;0;173;1;1;3.23E+15
ES002100000100007PD;07/01/2023 20:00;0;572;0;0;0;0;201;1;1;3.23E+15
ES002100000100007PD;07/01/2023 21:00;0;2828;0;0;0;0;175;1;1;3.23E+15
ES002100000100007PD;07/01/2023 22:00;0;552;0;1;0;0;208;1;1;3.23E+15
ES002100000100007PD;07/01/2023 23:00;0;508;0;0;0;0;180;1;1;3.23E+15
ES002100000100007PD;08/01/2023 0:00;0;417;0;0;0;0;196;1;1;3.23E+15
ES002100000100007PD;08/01/2023 1:00;0;347;0;1;0;0;190;1;1;3.23E+15
ES002100000100007PD;08/01/2023 2:00;0;201;0;0;0;0;165;1;1;3.23E+15
ES002100000100007PD;08/01/2023 3:00;0;189;0;0;0;0;143;1;1;3.23E+15
ES002100000100007PD;08/01/2023 4:00;0;193;0;0;0;0;155;1;1;3.23E+15
ES002100000100007PD;08/01/2023 5:00;0;150;0;0;0;0;155;1;1;3.23E+15
ES002100000100007PD;08/01/2023 6:00;0;192;0;1;0;0;162;1;1;3.23E+15
ES002100000100007PD;08/01/2023 7:00;0;197;0;0;0;0;134;1;1;3.23E+15
ES002100000100007PD;08/01/2023 8:00;0;184;0;0;0;0;140;1;1;3.23E+15
ES002100000100007PD;08/01/2023 9:00;0;249;0;0;0;0;142;1;1;3.23E+15
